nominal,data,curs,cdx
100,2022-02-05 00:00:00,66.0766,Японская иена
100,2022-02-04 00:00:00,66.8412,Японская иена
100,2022-02-03 00:00:00,66.7786,Японская иена
100,2022-02-02 00:00:00,67.0552,Японская иена
100,2022-02-01 00:00:00,67.1523,Японская иена
100,2022-01-29 00:00:00,67.3423,Японская иена
100,2022-01-28 00:00:00,68.7422,Японская иена
100,2022-01-27 00:00:00,69.2033,Японская иена
100,2022-01-26 00:00:00,69.0844,Японская иена
100,2022-01-25 00:00:00,68.046,Японская иена
100,2022-01-22 00:00:00,67.3165,Японская иена
100,2022-01-21 00:00:00,66.851,Японская иена
100,2022-01-20 00:00:00,67.1967,Японская иена
100,2022-01-19 00:00:00,66.5429,Японская иена
100,2022-01-18 00:00:00,66.5067,Японская иена
100,2022-01-15 00:00:00,66.5935,Японская иена
100,2022-01-14 00:00:00,65.1624,Японская иена
100,2022-01-13 00:00:00,64.5905,Японская иена
100,2022-01-12 00:00:00,64.936,Японская иена
100,2022-01-11 00:00:00,64.9168,Японская иена
